Temp,Humidity,Soil,Wind,Rainfall,Crop,Season,Irrigation
39.6,33.1,50.0,0.9,2.0,Corn,Spring,0
27.4,38.6,57.4,10.8,0.5,Corn,Summer,0
38.8,32.3,35.5,11.6,2.0,Rice,Winter,0
32.7,35.7,45.1,7.0,2.0,Rice,Autumn,0
39.1,55.4,16.4,1.5,0.0,Wheat,Spring,1
20.9,72.3,32.4,7.4,0.5,Rice,Spring,0
36.5,78.2,52.2,13.7,0.5,Wheat,Spring,0
28.3,57.1,13.9,1.6,0.5,Wheat,Summer,1
21.2,77.7,32.6,2.1,0.0,Corn,Autumn,0
31.5,32.9,46.9,9.3,2.0,Rice,Spring,0
22.6,79.9,52.9,13.1,2.0,Wheat,Autumn,0
30.9,74.5,15.4,11.5,0.5,Rice,Spring,1
20.3,53.0,58.3,10.7,0.5,Rice,Summer,0
29.4,60.5,36.3,15.0,2.0,Corn,Winter,0
38.4,74.5,50.5,9.7,0.5,Soybean,Spring,0
37.0,38.4,52.1,4.2,2.0,Soybean,Autumn,0
23.2,31.5,47.0,1.7,2.0,Soybean,Spring,0
35.4,30.9,23.2,10.2,2.0,Corn,Spring,0
27.9,67.4,27.8,10.9,0.5,Corn,Autumn,1
21.2,58.5,50.0,7.3,2.0,Corn,Spring,0
39.8,42.6,19.2,0.7,2.0,Corn,Spring,0
24.6,39.1,33.8,2.3,2.0,Rice,Autumn,0
20.5,63.0,33.4,12.0,0.5,Wheat,Autumn,0
28.4,57.8,28.2,7.3,2.0,Corn,Autumn,0
23.9,79.0,30.5,10.2,2.0,Rice,Summer,0
31.4,71.0,31.0,12.2,0.5,Wheat,Summer,0
29.9,39.7,33.7,3.4,0.0,Corn,Spring,0
30.2,64.0,43.8,4.3,0.5,Wheat,Summer,0
25.6,59.9,48.4,4.1,0.0,Rice,Autumn,0
21.0,70.5,17.5,0.5,0.5,Corn,Winter,1
21.8,71.9,18.5,11.4,0.5,Corn,Spring,1
32.1,48.2,48.7,8.3,2.0,Rice,Autumn,0
33.2,58.1,46.7,9.4,2.0,Rice,Summer,0
29.7,67.7,51.5,3.8,0.0,Soybean,Summer,0
29.4,34.5,21.4,8.3,0.5,Soybean,Spring,1
25.9,65.9,32.7,0.2,0.5,Soybean,Winter,0
32.8,61.3,11.1,8.6,0.0,Soybean,Autumn,1
25.7,72.0,50.6,0.7,0.5,Corn,Spring,0
25.3,45.9,46.1,11.4,0.5,Rice,Spring,0
32.8,45.2,58.2,6.3,2.0,Wheat,Winter,0
24.1,42.9,47.5,9.4,0.0,Corn,Winter,0
23.3,54.4,59.5,14.2,0.0,Rice,Summer,0
23.6,57.5,47.0,7.2,2.0,Corn,Spring,0
23.2,60.2,47.0,12.3,0.0,Wheat,Summer,0
33.8,41.4,47.5,10.8,0.0,Soybean,Summer,0
23.7,30.1,14.7,10.7,2.0,Corn,Autumn,0
23.9,44.4,39.2,0.1,0.0,Soybean,Winter,0
21.6,33.2,38.8,6.8,0.0,Rice,Autumn,0
32.8,32.9,16.5,3.1,0.5,Soybean,Summer,1
39.6,68.0,34.6,13.4,0.0,Wheat,Summer,0
33.5,52.7,58.7,8.0,2.0,Soybean,Spring,0
20.8,52.8,30.6,7.5,0.5,Wheat,Winter,0
20.2,46.9,21.0,14.3,0.0,Corn,Summer,1
30.6,63.1,49.0,7.4,0.5,Corn,Autumn,0
34.1,57.5,48.8,5.3,2.0,Soybean,Spring,0
32.1,60.2,49.0,10.6,0.5,Soybean,Winter,0
33.3,79.9,12.2,13.0,2.0,Wheat,Winter,0
29.2,68.7,56.7,3.8,0.0,Wheat,Winter,0
39.7,35.6,22.2,9.9,0.0,Wheat,Winter,1
39.2,40.4,15.3,3.9,0.0,Soybean,Winter,1
31.8,75.0,59.6,4.2,0.5,Corn,Autumn,0
24.9,70.1,38.2,5.3,2.0,Rice,Autumn,0
37.0,42.1,48.5,12.2,0.0,Soybean,Summer,0
31.7,34.8,11.9,0.7,0.5,Soybean,Autumn,1
37.3,71.7,27.4,10.5,0.0,Rice,Winter,1
30.9,76.9,44.2,0.7,2.0,Corn,Autumn,0
20.1,32.1,29.1,14.3,0.0,Wheat,Summer,1
32.6,56.8,59.0,4.4,0.5,Soybean,Winter,0
36.3,52.6,29.1,11.9,0.0,Corn,Summer,1
37.8,53.0,21.0,8.1,2.0,Wheat,Winter,0
33.7,52.7,30.3,7.6,0.0,Wheat,Winter,0
36.3,50.4,45.8,10.4,2.0,Wheat,Winter,0
23.4,78.5,22.2,13.1,0.0,Wheat,Spring,1
28.5,35.6,42.0,14.5,2.0,Rice,Spring,0
31.4,57.8,46.4,3.2,0.5,Corn,Summer,0
32.7,60.4,55.5,1.8,2.0,Soybean,Winter,0
36.9,77.5,15.1,7.4,0.5,Wheat,Spring,1
37.7,32.1,19.3,2.4,0.0,Soybean,Autumn,1
